Toulouse|1.44,43.6,150|2031-12-14T14:19:56Z|Rain|+14.5|1030.5|91.0                                  |
Paris|2.35,48.85,35|2042-12-08T01:53:21Z|Rain|+13.7|1015.5|77.0                                     |
San Fransisco|-122.42,37.77,16|2016-09-01T18:23:17Z|Sunny|+14.7|1024.5|48.0                         |
Montreal|-73.59,45.51,35|2022-04-12T17:57:27Z|Snow|-1.1|992.8|93.0                                  |
Darwin|130.84,-12.46,37|2039-07-18T16:56:58Z|Sunny|+19.6|1000.0|5                                   |
Tignes|6.92,45.5,3747|2042-04-05T17:13:53Z|Rain|+16.6|1027.0|73.0                                   |
Sydney|151.21,-33.87,19|2044-08-06T06:58:57Z|Sunny|+13.8|1021.6|71.0                                |
Juneau|-134.42,58.3,17|2005-09-01T17:00:26Z|Sunny|-2.9|1001.0|69.0                                  |
Marseille|5.38,43.3,12|2041-11-03T19:17:12Z|Sunny|+15.0|1027.9|60.0                                 |
Lyon|4.85,45.75,213|2026-12-25T10:08:22Z|Sunny|+6.3|1024.9|45.0                                     |
Toulouse|1.44,43.6,150|2024-04-16T15:26:42Z|Rain|+6.6|1005.1|70.0                                   |
Paris|2.35,48.85,35|2020-08-16T23:54:50Z|Sunny|+16.6|990.5|65.0                                     |
San Fransisco|-122.42,37.77,16|2025-12-23T10:36:58Z|Sunny|+13.7|1026.9|55.0                         |
Montreal|-73.59,45.51,35|2044-05-15T13:26:56Z|Rain|+8.1|1012.4|89.0                                 |
Darwin|130.84,-12.46,37|2044-08-18T03:47:39Z|Sunny|+13.4|1014.1|21.0                                |
Tignes|6.92,45.5,3747|2032-06-11T17:43:42Z|Sunny|+21.5|1017.8|50.0                                  |
Sydney|151.21,-33.87,19|2044-08-17T08:46:24Z|Sunny|+19.6|1016.8|69.0                                |
Juneau|-134.42,58.3,17|2003-07-07T20:59:10Z|Sunny|+8.9|1008.8|62.0                                  |
Marseille|5.38,43.3,12|2041-10-09T04:37:13Z|Rain|+10.0|1047.3|92.0                                  |
Lyon|4.85,45.75,213|2027-10-10T00:55:20Z|Rain|+12.6|995.8|74.0                                      |
Toulouse|1.44,43.6,150|2034-12-30T14:33:31Z|Sunny|+5.9|1033.4|94.0                                  |
Paris|2.35,48.85,35|2044-12-11T08:43:58Z|Sunny|+17.5|999.1|37.0                                     |
